=== INFORME DE SANITIZACIÓN DE BASE DE DATOS ===
[form_responses.guardian_full_name] Reemplazado '├¡' por 'í' -> 7 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├│' por 'ó' -> 1 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├í' por 'á' -> 1 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├ì' por 'Í' -> 1 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├®' por 'é' -> 4 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├▒' por 'ñ' -> 1 filas actualizadas.
[form_responses.guardian_full_name] Reemplazado '├ü' por 'Á' -> 2 filas actualizadas.
[form_responses.guardian_document_type] Reemplazado '├¡' por 'í' -> 22 filas actualizadas.
[form_responses.guardian_document_type] Reemplazado '├®' por 'é' -> 22 filas actualizadas.
[form_responses.raw_data] Reemplazado '├¡' por 'í' -> 52 filas actualizadas.
[form_responses.raw_data] Reemplazado '├│' por 'ó' -> 52 filas actualizadas.
[form_responses.raw_data] Reemplazado '├í' por 'á' -> 52 filas actualizadas.
[form_responses.raw_data] Reemplazado '├ì' por 'Í' -> 3 filas actualizadas.
[form_responses.raw_data] Reemplazado '├®' por 'é' -> 52 filas actualizadas.
[form_responses.raw_data] Reemplazado '├▒' por 'ñ' -> 30 filas actualizadas.
[form_responses.raw_data] Reemplazado '├ü' por 'Á' -> 12 filas actualizadas.
[form_responses.raw_data] Reemplazado '├ë' por 'É' -> 2 filas actualizadas.
[form_responses.raw_data] Reemplazado '├ô' por 'Ó' -> 3 filas actualizadas.
[form_responses.raw_data] Reemplazado '├║' por 'ú' -> 52 filas actualizadas.
[form_responses.raw_data] Reemplazado '┬║' por 'º' -> 48 filas actualizadas.
[group_classes.name] Reemplazado '├ô' por 'Ó' -> 3 filas actualizadas.
[group_enrollments.student_name] Reemplazado '├ì' por 'Í' -> 24 filas actualizadas.
[group_enrollments.student_name] Reemplazado '├æ' por 'Ñ' -> 7 filas actualizadas.
[group_enrollments.student_name] Reemplazado '├ü' por 'Á' -> 10 filas actualizadas.
[group_enrollments.student_name] Reemplazado '├ë' por 'É' -> 14 filas actualizadas.
[group_enrollments.student_name] Reemplazado '├ô' por 'Ó' -> 11 filas actualizadas.
[historical_records.student_name] Reemplazado '├¡' por 'í' -> 93 filas actualizadas.
[historical_records.student_name] Reemplazado '├│' por 'ó' -> 40 filas actualizadas.
[historical_records.student_name] Reemplazado '├í' por 'á' -> 52 filas actualizadas.
[historical_records.student_name] Reemplazado '├ì' por 'Í' -> 22 filas actualizadas.
[historical_records.student_name] Reemplazado '├®' por 'é' -> 44 filas actualizadas.
[historical_records.student_name] Reemplazado '├▒' por 'ñ' -> 39 filas actualizadas.
[historical_records.student_name] Reemplazado '├æ' por 'Ñ' -> 14 filas actualizadas.
[historical_records.student_name] Reemplazado '├ü' por 'Á' -> 15 filas actualizadas.
[historical_records.student_name] Reemplazado '├ë' por 'É' -> 16 filas actualizadas.
[historical_records.student_name] Reemplazado '├ô' por 'Ó' -> 9 filas actualizadas.
[historical_records.student_name] Reemplazado '├║' por 'ú' -> 2 filas actualizadas.
[historical_records.student_name] Reemplazado '├╝' por 'ü' -> 1 filas actualizadas.
[historical_records.raw_data] Reemplazado '├¡' por 'í' -> 1017 filas actualizadas.
[historical_records.raw_data] Reemplazado '├│' por 'ó' -> 1034 filas actualizadas.
[historical_records.raw_data] Reemplazado '├í' por 'á' -> 1034 filas actualizadas.
[historical_records.raw_data] Reemplazado '├ì' por 'Í' -> 97 filas actualizadas.
[historical_records.raw_data] Reemplazado '├®' por 'é' -> 1034 filas actualizadas.
[historical_records.raw_data] Reemplazado '├▒' por 'ñ' -> 732 filas actualizadas.
[historical_records.raw_data] Reemplazado '├æ' por 'Ñ' -> 144 filas actualizadas.
